update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency
0,0,0,0,0,0,0
1,1,0,35,5,11,0
2,4,0,35,5,11,0
3,6,0,35,5,11,0
4,8,0,35,5,11,0
5,14,1,35,5,11,1
6,16,1,35,5,11,1
7,18,1,35,5,11,1
8,20,1,35,5,11,1
9,23,1,35,5,11,1
10,23,1,35,5,11,1
11,24,1,35,5,11,1
12,27,2,35,5,11,1
13,29,2,35,5,11,1
14,35,3,35,5,11,1
15,42,4,35,5,11,1
16,51,5,35,5,11,1
17,55,5,35,5,11,1
18,61,6,35,5,11,1
19,61,6,35,5,11,1
20,63,6,35,5,11,1
21,63,6,35,5,11,1
22,64,7,35,5,11,1
23,67,8,35,5,11,1
24,69,8,35,5,11,1
25,76,10,35,5,11,1
26,77,11,35,5,11,1
27,77,11,35,5,11,1
28,79,11,35,5,11,1
29,81,11,35,5,11,1
30,82,11,35,5,11,1
31,87,11,35,5,11,1
32,93,12,35,5,11,1
33,94,13,35,5,11,1
34,94,13,35,5,11,1
35,96,13,35,5,11,1
36,98,13,35,5,11,1
37,100,13,35,5,11,1
38,105,14,35,5,11,1
39,108,14,35,5,11,1
40,109,14,35,5,11,1
41,110,14,35,5,11,1
42,112,14,35,5,11,1
43,113,14,35,5,11,1
44,114,14,35,5,11,1
45,115,14,35,5,11,1
46,115,14,35,5,11,1
47,117,15,35,5,11,1
48,119,15,35,5,11,1
49,122,16,35,5,11,1
50,123,16,35,5,11,1
51,125,16,35,5,11,1
52,127,17,35,5,11,1
53,128,17,35,5,11,1
54,128,17,35,5,11,1
55,130,17,35,5,11,1
56,132,17,35,5,11,1
57,135,17,35,5,11,1
58,138,18,35,5,11,1
59,140,18,35,5,11,1
60,140,18,35,5,11,1
61,141,18,35,5,11,1
62,142,18,35,5,11,1
63,143,18,35,5,11,1
64,146,18,35,5,11,1
65,148,18,35,5,11,1
66,150,19,35,5,11,1
67,158,19,35,5,11,1
68,160,20,35,5,11,1
69,165,20,35,5,11,1
70,167,20,35,5,11,1
71,169,20,35,5,11,1
72,171,20,35,5,11,1
73,175,20,35,5,11,1
74,180,20,35,5,11,1
75,180,20,35,5,11,1
76,183,20,35,5,11,1
77,186,20,35,5,11,1
78,190,21,35,5,11,1
79,192,21,35,5,11,1
80,195,21,35,5,11,1
81,198,21,35,5,11,1
82,200,21,35,5,11,1
83,201,21,35,5,11,1
84,205,21,35,5,11,1
85,209,22,35,5,11,1
86,212,22,35,5,11,1
87,216,22,35,5,11,1
88,221,22,35,5,11,1
89,227,22,35,5,11,1
90,232,22,35,5,11,1
91,237,23,35,5,11,1
92,238,23,35,5,11,1
93,239,23,35,5,11,1
94,240,23,35,5,11,1
95,242,23,35,5,11,1
96,243,23,35,5,11,1
97,244,23,35,5,11,1
98,245,23,35,5,11,1
99,250,23,35,5,11,1
100,252,24,35,5,11,1
101,255,24,35,5,11,1
102,256,24,35,5,11,1
103,257,25,35,5,11,1
104,257,25,35,5,11,1
105,258,25,35,5,11,1
106,259,25,35,5,11,1
107,261,25,35,5,11,1
108,265,26,35,5,11,1
109,269,26,35,5,11,1
110,271,27,35,5,11,1
111,274,27,35,5,11,1
112,281,27,35,5,11,1
113,283,27,35,5,11,1
114,286,27,35,5,11,1
115,287,27,35,5,11,1
116,289,28,35,5,11,1
117,291,28,35,5,11,1
118,296,28,35,5,11,1
119,299,29,35,5,11,1
120,300,29,35,5,11,1
121,305,30,35,5,11,1
122,309,30,35,5,11,1
123,312,31,35,5,11,1
124,312,31,35,5,11,1
125,316,31,35,5,11,1
126,317,31,35,5,11,1
127,318,31,35,5,11,1
128,319,31,35,5,11,1
129,323,31,35,5,11,1
130,323,31,35,5,11,1
131,323,31,35,5,11,1
132,326,31,35,5,11,1
133,326,31,35,5,11,1
134,326,31,35,5,11,1
135,326,31,35,5,11,1
136,327,31,35,5,11,1
137,329,32,35,5,11,1
138,333,33,35,5,11,1
139,333,33,35,5,11,1
140,334,34,35,5,11,1
141,338,35,35,5,11,1
142,339,35,35,5,11,1
143,339,35,35,5,11,1
144,340,35,35,5,11,1
145,341,36,35,5,11,1
146,342,36,35,5,11,1
147,344,36,35,5,11,1
148,345,36,35,5,11,1
149,348,36,35,5,11,1
150,350,36,35,5,11,1
151,352,36,35,5,11,1
152,352,36,35,5,11,1
153,352,36,35,5,11,1
154,352,36,35,5,11,1
155,352,36,35,5,11,1
156,354,36,35,5,11,1
157,356,36,35,5,11,1
158,358,36,35,5,11,1
159,360,37,35,5,11,1
160,361,37,35,5,11,1
161,364,38,35,5,11,1
162,366,38,35,5,11,1
163,367,38,35,5,11,1
164,370,39,35,5,11,1
165,373,39,35,5,11,1
166,374,39,35,5,11,1
167,375,39,35,5,11,1
168,376,39,35,5,11,1
169,377,39,35,5,11,1
170,377,39,35,5,11,1
171,379,39,35,5,11,1
172,384,40,35,5,11,1
173,387,41,35,5,11,1
