update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency
0,0,0,0,0,0,0
1,5,0,65,9,15,0
2,10,0,65,9,15,0
3,14,1,65,9,15,1
4,17,1,65,9,15,1
5,22,1,65,9,15,1
6,30,1,65,9,15,1
7,39,3,65,9,15,1
8,42,3,65,9,15,1
9,46,3,65,9,15,1
10,49,3,65,9,15,1
11,52,3,65,9,15,1
12,60,3,65,9,15,1
13,68,5,65,9,15,1
14,71,5,65,9,15,1
15,86,6,65,9,15,1
16,93,7,65,9,15,1
17,97,7,65,9,15,1
18,100,7,65,9,15,1
19,106,7,65,9,15,1
20,116,7,65,9,15,1
21,127,8,65,9,15,1
22,145,10,65,9,15,1
23,149,11,65,9,15,1
24,156,11,65,9,15,1
25,159,12,65,9,15,1
26,163,12,65,9,15,1
27,170,12,65,9,15,0.5
28,181,13,65,9,15,1
29,188,13,65,9,15,1
30,195,13,65,9,15,1
31,199,13,65,9,15,1
32,202,13,65,9,15,1
33,207,13,65,9,15,1
34,211,13,65,9,15,1
35,214,14,65,9,15,1
36,216,14,65,9,15,1
37,223,15,65,9,15,1
38,230,15,65,9,15,1
39,233,15,65,9,15,1
40,239,15,65,9,15,1
41,248,15,65,9,15,1
42,256,15,65,9,15,1
43,261,16,65,9,15,1
44,268,16,65,9,15,1
45,271,16,65,9,15,1
46,282,16,65,9,15,1
47,291,16,65,9,15,1
48,293,16,65,9,15,1
49,303,16,65,9,15,1
50,305,16,65,9,15,1
51,308,16,65,9,15,1
52,310,16,65,9,15,1
53,313,16,65,9,15,1
54,318,16,65,9,15,1
55,322,16,65,9,15,1
56,328,16,65,9,15,1
57,335,17,65,9,15,1
58,340,17,65,9,15,1
59,342,17,65,9,15,1
60,348,17,65,9,15,1
61,357,17,65,9,15,1
62,362,17,65,9,15,1
63,366,17,65,9,15,1
64,371,17,65,9,15,1
65,385,17,65,9,15,1
66,396,17,65,9,15,1
67,408,18,65,9,15,1
68,413,18,65,9,15,1
69,417,19,65,9,15,1
70,425,20,65,9,15,1
71,428,20,65,9,15,1
72,429,20,65,9,15,1
73,430,20,65,9,15,1
74,431,20,65,9,15,1
75,435,20,65,9,15,1
76,443,20,65,9,15,1
77,453,21,65,9,15,1
78,457,21,65,9,15,1
79,463,21,65,9,15,1
80,465,21,65,9,15,1
81,466,21,65,9,15,1
82,469,21,65,9,15,1
83,469,21,65,9,15,1
84,470,21,65,9,15,1
85,471,21,65,9,15,1
86,473,22,65,9,15,1
87,478,22,65,9,15,1
88,481,22,65,9,15,1
89,483,22,65,9,15,1
90,485,22,65,9,15,1
91,496,23,65,9,15,1
92,497,23,65,9,15,1
93,498,23,65,9,15,1
94,501,23,65,9,15,1
95,503,23,65,9,15,1
96,505,23,65,9,15,1
97,507,23,65,9,15,1
98,510,23,65,9,15,1
99,512,23,65,9,15,1
100,515,23,65,9,15,1
101,525,24,65,9,15,1
102,528,24,65,9,15,1
103,529,24,65,9,15,1
104,531,24,65,9,15,1
105,534,24,65,9,15,1
106,538,24,65,9,15,1
107,542,24,65,9,15,1
108,542,24,65,9,15,1
109,553,24,65,9,15,1
110,557,24,65,9,15,1
111,559,24,65,9,15,1
112,566,24,65,9,15,1
113,574,24,65,9,15,1
114,580,24,65,9,15,1
115,585,25,65,9,15,1
116,589,25,65,9,15,1
117,600,25,65,9,15,1
118,611,26,65,9,15,1
119,629,27,65,9,15,1
120,632,27,65,9,15,1
121,634,27,65,9,15,1
122,637,27,65,9,15,1
123,643,27,65,9,15,1
124,651,27,65,9,15,1
125,660,27,65,9,15,1
126,663,27,65,9,15,1
127,667,27,65,9,15,1
128,674,27,65,9,15,1
129,677,27,65,9,15,1
130,685,28,65,9,15,1
131,689,29,65,9,15,1
132,693,30,65,9,15,1
133,696,30,65,9,15,1
134,704,30,65,9,15,1
135,716,31,65,9,15,1
136,723,31,65,9,15,1
137,730,31,65,9,15,1
138,736,32,65,9,15,1
139,739,32,65,9,15,1
140,745,32,65,9,15,1
141,747,32,65,9,15,1
142,753,33,65,9,15,1
143,757,33,65,9,15,1
144,771,33,65,9,15,1
145,774,33,65,9,15,1
146,778,33,65,9,15,1
147,783,34,65,9,15,1
148,791,34,65,9,15,1
149,793,34,65,9,15,1
150,795,34,65,9,15,1
151,796,34,65,9,15,1
152,797,34,65,9,15,1
153,800,34,65,9,15,1
154,804,34,65,9,15,1
155,808,34,65,9,15,1
156,812,34,65,9,15,1
157,817,35,65,9,15,1
158,819,35,65,9,15,1
159,819,35,65,9,15,1
160,820,35,65,9,15,1
161,822,35,65,9,15,1
162,826,36,65,9,15,1
163,828,36,65,9,15,1
164,831,36,65,9,15,1
165,836,36,65,9,15,1
166,840,36,65,9,15,1
167,841,36,65,9,15,1
168,842,36,65,9,15,1
